label,text
negative,"заказ пришел с браком, дырой посреди туники. продавец на контакт не пошел. не рекомендую его никому."
neutral,"шло очень долго и пришло с дыркой, хорошо, что по шву, сама зашила"
positive,"хорошие колготки за свою цену. стыки сшиты нормально, доставка долгая около 1.5 месяца до Владимира"
positive,"блузка понравилась, пришла быстро"
negative,"заказ не пришел,но деньги вернули."
positive,"Потрясающее качество ткани. Дошло быстро в СПб. Рукава шикарные, подходят по длине, даже чуть длиннее. Однако, кофта постоянно тянется вверх, по этому приходится всё время поправлять. Конечно, с джинсами с высокой талией будет смотреться круто, я думаю. Большое спасибо продавцу, ещё одна чудесная вещь с али в моем гардеробе с: Кстати, заказывала на размер больше. Обычная практика на али"
negative,"Заказ не получил, не рекомендую!"
negative,"Это Юбка просто кошмар! Больше похожа на клиенку, на улицу выйти стыдно, тонкая тонкая ногтем проткнуть можно. Маломерка,об 100,размер Л не могла натянуть, правда тянется, но тянуть то её страшно, швы поползут. Доставка быстрая, но зачем такая нужна? Жду возврата средств."
negative,товар не качественный! не соответствует разменной сетке!
neutral,"Заказ пришёл всего за 12 дней до Тюмени, на рост 156 чуть длинные но это не критично, но на объем бёдер 97 брала размер s и они оказались очень большими, сидят свободно, и собираются в складки. Хотя материал хороший, тянется и не просвечивает. Жаль что большие"
positive,"Соответствует описанию,посылка отлеживалась,доставка заняла 10 дней до Краснодара,спасибо продавцу,рекомендую"
neutral,"Деньги вернули через спор, блуза пришла синтетика, а я синтетику вообще не могу носить, которая с телом соприкоснётся, потею знаете ли, и вообще, люблю чувствовать себя комфортно! Выбор за вами!"
negative,Ужасная!
positive,"Отличная блузка, всё подошло Рекомендую)."
positive,"Заказ шел до Алтайского края 3 недели, все пришло в целости. Качество нормальное за эту цену. Ткань тонкая, похожа на лайкру, на ощупь приятная, не для зимы, но я и брала для дома. Выглядит как на фото. Заказывала темно-серый цвет. На рост 168 см длина до пола, можно даже слегка укоротить, но решила сначала постирать. На русский 44-46 заказывала размер L, подошел. Резинка в поясе туговата, как ранее и писали в отзывах. Думала, что ее можно заменить, но, к сожалению, она не вставлена в кулиску, а просто пришита двумя строчками к ткани с изнаночной стороны, не хочется распарывать. Надеюсь, что в процессе ношения растянется. С продавцом не общалась. В целом, заказом довольна. Продавцу успехов и процветания!"
negative,"Товар не пришёл , продавец не выходит на контакт . Трек не отслеживается."
neutral,Очень тонкие. Очень быстро образуются катышки и зацепки.
negative,"на вид кофта даже хорошая , но уже в первый день носки отвалились две заклепки. остались дырки . дороговато для такой вещи ."
neutral,Честно говоря качество не очень. Кривоваты швы. и нитки торчат... ну за такие деньги могло быть и лучше. не просвечивает.
negative,"Заказ так и не пришёл ждала больше 2 месяцев, много раз открывала спор, продавец писал что товар придёт подождите, в течении месяца пытались вернуть деньги, он продлевал защиту, в итоге деньги вернули, заказ так и не пришёл"
positive,"нормальное плате, правда синтетика. на свои деньги. смотрится хорошо как на картинке, сняла звезды за доставку. доставили в отделение почты не по адресу, поэтому пришлось побегать."
neutral,"всё бы здорово, но на плече две дырки на самом видном месте"
negative,"Товар хорошего качества, но доставка, это что-то. Товар отправили через МЕСЯЦ после заказа, ужас"
positive,"Платье супер. Сшито, как на меня. Размер 42, рост 164. Заказывала 11.11. (продавец отправил сразу), заказ пришел в Н. Уренгой 27.11. Платьем довольна, цвет, как на картинке. Ткань плотная. Очень узкое, тяжело надевать и шаг широкий не сделаешь.. Есть три маленькие торчащие нитки, но это не критично. Немного собирается по бокам возле подмышек. Пришло без запаха.Продавцу спасибо!!!"
neutral,"Штаны удастного качества. Я не знаю из чего они сшиты, но они по весу как пенопласт, хотя утеплённые. Ткань на ощупь как мешковина. Я их брала чтоб они были как овчины в обтяг. В итоге ткань не облянула, а стала в гармошку топорщится. Как колбаса «вязанка» выглядят на ногах. Размер ххl на русский 50-52. На бёдра до 106 см максимум. Длина по шаговому шву 69-70 см"
neutral,"Качество не айс,все просвечивается,даже на мой рост 156,очень короткий(((не отслеживался,пришёл за месяц. Не советую,кто высокий."
negative,оба рукава были рваные((
neutral,"продавец уже дважды дает левый трек. вещь не получила. второй свитер (другой) тоже. открыла спор, вернул деньги. Но спор умолял закрыть, чтобы не вредить репутации. Чтобы не вредить репутации, не нужно накалывать покупателей, по-моему. бесит."
negative,это не штаны а колготки на флисе.тонкие.
positive,"Товар так и не получила, прошли 90 дней доставки, Али вернул деньги 5 баллов"
negative,"Дорогой друг. Спасибо , что товар пришел быстро, но платье БРАК ! Разные рукава , кривая вышивка. Посмотрите сами. Я бы хотел получить в следующем заказе скидку на следующий заказ в вашем магазине за этот брак. Можно, я что нибудь выберу у вас ? А то моя жена плачет."
neutral,"Заказала чёрную и белую футболку размера М. В итоге белая оказалась намного больше чёрной,хотя на обеих футболках пришита бирка с размером М. На мой 42-44 белая выглядет как L."
neutral,Совсем не ожидала такого качества материала!Но швы ровные.пришёл товар довольно быстро.
negative,"Ужасные джинсы, вонь от них стоит даже после 5 стирки, одеть не возможно!!!! Я очень расстроена, к ним липнет все: волосинки, мусор, ими можно полы вытирать, весь мусор соберут и полы заблестят, с таким качеством ткани и ""Mister Proper"" даже не нужен!!!!! Заказывала черные, на счет синих не знаю...по размеру тоже немного прогадала, если кто очень худенький берите xs...Не знаю может еще раз 5 постираю и запах исчезнет, но думаю после 10 стрирки и сами джинсы исчезнут, не только запах )))"
positive,"Парка,действительно, мягкая, легкая удобная, мех и не сыпется вовсе как и писали.Выбрала Л, на ОГ 92, не стесняет движения и смотрится прикольно! Продавцу огромное спасибо за товар!"
neutral,"Качество норм, но свитер странный ) и сильно пахнет"
positive,"Класс толстовка,мягкая,по размеру подошло,продавец супер."
neutral,"Такое г....о я ещё не покупала, этому боли цена 250 руб, утешает то что брала носить под свитер шерстяной, что-бы не кололся, доставка месяц, трек не отслеживается, хлопок 100%, но низкого качества, размер М на параметры 92-74-92 мал"
positive,Отличное качество и очень быстрая доставка! Спасибо!
neutral,Товар пришел немного в плохом состоянии+ по размеру совсем не подошел.Открыла спор и деньги вернули)
neutral,"Куртка неплохая, швы аккуратные, запаха нет. Выкройка странная, для узких плеч. Брала маме размер не подошёл в плечах жмет, но если брать размер больше будет висеть на груди и талии. Что не понравилось так это доставка. У меня почта в соседем доме и это удобно, а продовец отправляет через сервис доставки декс и они не доставляют по адресу, за заказом пришлось ехать в ближайшее отделение декс, лично для меня стало неприятным сюрпризом."
negative,"Выглядит гораздо дешевле, нежели на фотографии, швы обработаны так себе, материал мягкий, мнущийся, окантовка не кожа и не кожзам, а некая блестящая ткань. Зачем написано , что это шерсть -непонято, это 100 процентов полиэстер. Сама модель интересная, обмытываешься по размеру и на одну кнопку сзади застегиваешься, выглядит неплохо, но неприлично в таком идти на работу, по-моему, как будто какая-то бутафорская ткань, не настоящая)"
positive,Хорошие колготки. Рост до 150 подойдут.
positive,Доставили меньше чем за месяц. Прям как планировала на подарок. Очень понравилось!
positive,"Лосины супер!Закос под кожу,а на деле ткань блестящая-это даже лучше)доставка быстрая."
neutral,качество ни о чем...красная цена 400р
negative,"Товар пришел с оторванным рукавом =(( Очень жалко, потому что качество очень хорошее..."
negative,"Ужасный запах, как от плохого ремня. Ремень маленький был в комплекте в отдельном пакете, но запах пропитал все платье. После замачивания и двух стирок, запах меньше не стал. Пришлось просто выбросить еще мокрое платье. Не мерила, но видно, что на рост 162 см слишком длинное, ниже колен."
negative,Товар не пришёл. Деньги не возвращает. Никому не рекомендую этого продавца. Позор!!!!
positive,Отличное качество! Рекомендую!
positive,"Дошли за 2 недели, мягенькие, к телу приятные, очень довольная"
positive,спасибо
neutral,"Трусики хорошие, размер подошел, на 46-48 заказывала 2XL. Одни пришли с браком -распоролось 2 см на передней части, но поправимо."
negative,"Ожидала более натуральную кофту,чем эта.К продавцу претензий нет."
positive,"Покупаю уже вторые, штанишки хорошие, качественные, но с размером не совсем разобралась, первые купила XL по отзывам, на44-46, оказались прилично велики в талии- 82 см, у меня 70, вторые купила L- 68 в талии чуть-чуть в обтяжку, в общем и целом буду носить и те и те)))"
positive,Хорошие
positive,Все отлично! С продавцом не общалась.
positive,Отличная ночнушка:)
negative,плохо
positive,очень хорошие лосины. Я довольная. закажу еще.
neutral,"Цвет бледнее чем на картинке,более серый. Размер соответствует ,на 44р М сидит свободно. Теплый,но на вид не скажешь о примеси кашемира или шерсти"
negative,ужасный пошив. не успела открыть спор. да и все равно сейчас просят вернуть назад. я бы банила за такой брак. реальное дерьмо. не советую.
neutral,большой мне.качество хорошее шел 3 недели
neutral,"Толстовка тонкая, это синтетика, вроде тут всем нравится ну не знаю уже вторую толстовку заказываю на али у разных продавцов и обе плохие, больше толстовки на али заказывать не буду потому что не соответствуют описанию мне не нравится, что касается продавца то он милый человек очень хороший добрый посылка пришла быстро, но толстовки заказывать больше не хочу."
positive,"Товар дошёл до Челябинска за 15 дней,что меня очень порадовало.Первый раз встретила продавца ,который быстро отправил и доставил товар.Пижама тоненькая как раз для сна,дефектов нет.В подарок продавец положил календарик.С размером угадала.Покупкой довольна!"
neutral,не такая яркая как на картинке
positive,"Посылка пришла быстро,размер подошел,качество отличное Все супер"
positive,"Куртка очень понравилась.Просила продавца сделать воротник и удлинить рукава на 5 см , все сделал как просила. На рост 175 ,вес 96 кг куртка очень хорошо сидит.Продавец очень сговорчивый.Берите не пожалеете"
negative,Товар так и не пришел..продввец продливал защиту 2 раза..но увы (((
positive,Огромное спасибо продавцу!!!Доставка супер быстрая!Меньше 2 недель до Новосибирска. Размер М идеально подошел на рост 171 и российский р-р 40-42.
neutral,Хлопка я там не увидела
positive,куртка хорошая за такие деньги!
neutral,"Доставка быстрая (12 дней до СПБ), товар отслеживался. К сожалению, это все плюсы... качество пошива оставляет желать лучшего (неровные швы и вообще блузка какая-то ""кривая"", маломерит. На картинке всё красиво-а по факту получаешь.... (("
neutral,"Швы, вытачки неровные. На спине сборкой шов с замком. Носить без перешивка нельзя. Заказывала размер М. Подошёл по размеру."
negative,Качество очень плохое.не советую. Стыдно одеть (( Не стоит даже этих денег. Шло очень долго почти 2 месяца.
positive,",потрясающая футболочка))на размер М заказала Л,хбшка)))к телу очень приятная"
positive,Всё хорошо. Пришёл за 2 недели.
neutral,"пришёл заказ быстро,но кофта не айс.ткань вообще ужас,на фото ткань другая и в описании тоже."
positive,"Соответствует фото и описание, очень понравилась рубашка, рекомендую!"
neutral,"Посылка все таки дошла, хотя уже не ждали. Размер подошел. Запах из упаковки ужасно-фенольный. Пряжка ремня сломана. Впечатления от магазина только отрицательные. Продавец начал общаться только после того, как вышли все мыслимые сроки. Покупки на Али делаем давно, проблем не было никогда, пока не сделали заказ здесь. Заказывать что то у этого продавца больше не будем."
negative,when will you send me the goods? You are very much at risk with your reputation and further sales.
negative,"Совсем не такой как на картинке, не стОит своих денег. Воротник неровный, вязка какая-то неаккуратная, такое ощущение, что вязал кто-то на скорую руку. Осталась очень недовольна"
positive,"Доставка 3 дня! Джинсы супер. Плотные, цвет красивый, сели хорошо, только немного боковой шов косит. Долго думала, какой размер брать, читала отзывы, потом увидела, что остался только 25, решила рискнуть, и хорошо, что не заказала больший размер у другого продавца. На мои от 67 и об 90, рост 164, джинсы сели прям по фигуре, с условием, что после дня носки они еще подрастянутся. Джинсы хорошие, хочу еще в других цветах заказать"
negative,"Заказ после оплаты очень долго находился в Китае. Когда посылка пришла - был просто шок. Джинсы были влажные и все в белых пятнах, как будто плесень. Пришлось два раза стирать, но пятна все равно кое где слегка проявлялись. Открыла спор, общалась с двумя продавцами. Одна просила закрыть спор, обещав разрешить ситуацию, другая написала, что не уверена их ли это джинсы. Моему возмущению не было предела. Итог - продавец закрыл спор без привлечения алиэкспресс. Джинсы сами по себе хорошие, если бы не пятна!"
neutral,куртка среднего качества.джинса. не тяжелая.я заказала м. пошив куртки не стандартен.обьем бедер не указан.при моем обьеме 104 см не сошлось на 15 см.обьем груди 102 см .поставила бы 5 звезд если бы хтоть смогла застегнуть куртку. на фото продавца крой куртки прямой.а эдесь сужается.
negative,товар так и не пришел....заказала еще в апреле (((
neutral,"Ткань типа ""плотные шторы"", без подкладки и короткое. Не советую покупать"
negative,Куртку не проучила ! Деньги на вернули ! Не честный продавец !!!!!!!
neutral,Мало
neutral,Обычный халат
neutral,цвет не как на фото а бледнее
neutral,"заказывала пижаму красного цвета, а пришла синяя!! качество хорошее, швы более менее крепкие,ровные, ничего не торчит, ткань приятная к телу. Заказала размер М на рост 170, боялась будет мала,но нет, единственное, в облипку, если хотите свободную ,то берите побольше. к качеству претензий нет, но обидно, что другой цвет(((("
positive,"Тупанула сама, не заметила, что в описании написан размер. Ждала большой квадрат, пришёл треугольник. Очень тонкий. Без запаха. Долго шёл"
negative,"Товара нет, деньги не вернули. Морочили голову"
positive,"На 38 еле налазят, трек отслеживался, запах не очень приятный."
neutral,"Заказываю легинсы второй раз у разных продавцов и опять пришёл брак!!! Затяжки и брак при окрашивании. Легинсы просвечивают, очень видно нижнее белье. Так что не для спорта, а для дома. Но продавец оказался порядочным - вернул все деньги за бракованный товар."
positive,"Как в описании, размер L на 46размер хорошо. не короткие, есть запах но думаю пройдет."
neutral,"похож на zara, но отличнается по цвету и крою. качество ткани хорошее, в носке и стирке, пока не знаю. доставка очень долгая снимаю звезду, и цвет не совпадает с заявленным, крой непонятный, короткий, но думаю растянется со временем."
negative,"своих денег совсем не стоит, за 200 рублей можно заказать лучшее качество. очень жесткий и не приятный к телу,размер совсем не соответствует заказывала л подошел на с. товар пришел с браком и продавец не хотел возвращать деньги. деньги вернул али. продавец мошенник,не заказывайте"
positive,"доставка почти 1,5 месяца. на дочь 12 лет - отлично."
negative,"Так и не пришли, продавец вернул деньги"
positive,"Спасибо большое продавцу, качество супер. доставка быстрая. и спасибо за подарок (очки)."
positive,я ношу размер 42-44 советую заказывать L. качество отличное.
neutral,"Трусики выглядят хорошо, но так воняют химией))"
neutral,"Платье не соответствует тому, которое на фотографии. Воротник-воланы плохо лежат, - не так, как на фото. Качество - тонкая синтетика, на фото - плотная ткань. Думала, что можно носить зимой, на самом деле - нет, тонкое, только на лето. Смотрится дешево. Шло очень долго, я думала, что придет к Новому году, но пришло 10 января. Отправили 17 ноября. Размер подошел."
negative,Это ппц девочки! На 42 размер он огромный! Ужасно сидит. Так еще и с дырками и нитками торчащими. Шел оч долго. Не советую. Г полное
negative,"плохое качество кофты, не так как на фото. быстрая доставка"
positive,"толстовка огонь!!! на мой 44-46 с размером угадала, все отлично!!!"
negative,"Качество ткани оставляет желать лучшего, просвечивает нижнее белье"
negative,"товар шел больше 4х месяцев, но так и не пришел. продавец вернул деньги"
neutral,"Очень короткая, как на куклу"
neutral,"В целом сорочка хорошая, ширина и длина как в описании, однако ткань очень сильно электризуется"
negative,"Просто кошмар ! Ждала больше двух месяцев , так и не пришло . Но хоть деньги вернули"
positive,"после примерки , немного выше в талии , чуть тянет, хочется отдернуть вниз, качество нормальное, очень глубокий разрез в области декольте, все решаемо , в целом не плохо"
